"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0
"Jan 1, 09:00 am",1.25672
"Jan 1, 10:00 am",28.3996
"Jan 1, 11:00 am",16.9537
"Jan 1, 12:00 pm",33.7282
"Jan 1, 01:00 pm",13.9496
"Jan 1, 02:00 pm",6.56057
"Jan 1, 03:00 pm",-0
"Jan 1, 04:00 pm",-0
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0
"Jan 2, 09:00 am",8.70751
"Jan 2, 10:00 am",11.6778
"Jan 2, 11:00 am",39.9473
"Jan 2, 12:00 pm",5.17004
"Jan 2, 01:00 pm",16.0915
"Jan 2, 02:00 pm",2.099
"Jan 2, 03:00 pm",-0
"Jan 2, 04:00 pm",-0
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0
"Jan 3, 09:00 am",3.40426
"Jan 3, 10:00 am",15.6828
"Jan 3, 11:00 am",21.4311
"Jan 3, 12:00 pm",31.8528
"Jan 3, 01:00 pm",12.4743
"Jan 3, 02:00 pm",4.93962
"Jan 3, 03:00 pm",-0
"Jan 3, 04:00 pm",-0
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0
"Jan 4, 09:00 am",9.93202
"Jan 4, 10:00 am",56.5443
"Jan 4, 11:00 am",49.4603
"Jan 4, 12:00 pm",29.0868
"Jan 4, 01:00 pm",29.4111
"Jan 4, 02:00 pm",23.3284
"Jan 4, 03:00 pm",-0
"Jan 4, 04:00 pm",-0
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0
"Jan 5, 09:00 am",8.87013
"Jan 5, 10:00 am",3.53688
"Jan 5, 11:00 am",3.49932
