"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",200.049
"Jan 1, 01:00 am",236.903
"Jan 1, 02:00 am",156.341
"Jan 1, 03:00 am",101.291
"Jan 1, 04:00 am",27.3833
"Jan 1, 05:00 am",27.3833
"Jan 1, 06:00 am",27.4636
"Jan 1, 07:00 am",32.7317
"Jan 1, 08:00 am",57.6449
"Jan 1, 09:00 am",22.4041
"Jan 1, 10:00 am",32.7719
"Jan 1, 11:00 am",32.6903
"Jan 1, 12:00 pm",5.51562
"Jan 1, 01:00 pm",11.8352
"Jan 1, 02:00 pm",27.2746
"Jan 1, 03:00 pm",140.616
"Jan 1, 04:00 pm",113.895
"Jan 1, 05:00 pm",77.5836
"Jan 1, 06:00 pm",77.7452
"Jan 1, 07:00 pm",77.7452
"Jan 1, 08:00 pm",57.2601
"Jan 1, 09:00 pm",114.116
"Jan 1, 10:00 pm",156.434
"Jan 1, 11:00 pm",77.872
"Jan 2, 12:00 am",114.641
"Jan 2, 01:00 am",78.0337
"Jan 2, 02:00 am",101.905
"Jan 2, 03:00 am",57.7307
"Jan 2, 04:00 am",101.858
"Jan 2, 05:00 am",238.156
"Jan 2, 06:00 am",114.627
"Jan 2, 07:00 am",67.8767
"Jan 2, 08:00 am",27.5596
"Jan 2, 09:00 am",102.03
"Jan 2, 10:00 am",89.2561
"Jan 2, 11:00 am",27.6132
"Jan 2, 12:00 pm",17.3061
"Jan 2, 01:00 pm",7.7039
"Jan 2, 02:00 pm",0
"Jan 2, 03:00 pm",0
"Jan 2, 04:00 pm",0
"Jan 2, 05:00 pm",17.3508
"Jan 2, 06:00 pm",27.6622
"Jan 2, 07:00 pm",11.9628
"Jan 2, 08:00 pm",9.85047
"Jan 2, 09:00 pm",3.53345
"Jan 2, 10:00 pm",1.43022
"Jan 2, 11:00 pm",14.1145
"Jan 3, 12:00 am",103.001
"Jan 3, 01:00 am",27.9155
"Jan 3, 02:00 am",9.93411
"Jan 3, 03:00 am",28.0316
"Jan 3, 04:00 am",79.0953
"Jan 3, 05:00 am",58.3694
"Jan 3, 06:00 am",40.3531
"Jan 3, 07:00 am",286.856
"Jan 3, 08:00 am",286.856
"Jan 3, 09:00 am",203.627
"Jan 3, 10:00 am",158.82
"Jan 3, 11:00 am",240.083
